iter	RMSE
0	7.596158006
1	7.220983914
2	6.874724152
3	6.627404919
4	6.383704992
5	6.172646208
6	5.967197113
7	5.78567851
8	5.644630304
9	5.491190958
10	5.34821034
11	5.23632726
12	5.135919653
13	5.044540244
14	4.964807573
15	4.878629114
16	4.792973553
17	4.730596137
18	4.663651628
19	4.607503948
20	4.555682479
21	4.503672384
22	4.448586507
23	4.404831104
24	4.356645303
25	4.318103405
26	4.283358061
27	4.250270425
28	4.214211402
29	4.18286039
30	4.163342984
31	4.143635472
32	4.104188226
33	4.084983688
34	4.041642417
35	3.997144957
36	3.963311223
37	3.943962327
38	3.918155789
39	3.890026963
40	3.868821136
41	3.820440577
42	3.794719375
43	3.776674609
44	3.758000883
45	3.741869333
46	3.713713699
47	3.689927054
48	3.675540366
49	3.66200895
50	3.647672147
51	3.624505939
52	3.610344424
53	3.600882695
54	3.591346794
55	3.580359649
56	3.557023201
57	3.550965665
58	3.54404754
59	3.532872709
60	3.51873536
61	3.502375861
62	3.486699298
63	3.477155293
64	3.466897662
65	3.455335332
66	3.446201094
67	3.436910411
68	3.423054008
69	3.409806246
70	3.400155608
71	3.371896228
72	3.363699514
73	3.342654622
74	3.333123432
75	3.326047958
76	3.316705815
77	3.306387853
78	3.289528387
79	3.278619221
80	3.27386226
81	3.257830173
82	3.241039817
83	3.23495232
84	3.231350288
85	3.219168505
86	3.202158857
87	3.19317634
88	3.184209388
89	3.180138119
90	3.165146684
91	3.148103501
92	3.125064627
93	3.10151178
94	3.09407644
95	3.091788191
96	3.082614475
97	3.069650346
98	3.067478425
99	3.063196821
100	3.040036478
101	3.028529003
102	3.026160269
103	3.019257234
104	2.997151815
105	2.987207844
106	2.983560336
107	2.98070663
108	2.978635274
109	2.969390311
110	2.951632857
111	2.950021775
112	2.947855849
113	2.925829813
114	2.918623534
115	2.905092945
116	2.903444131
117	2.884620256
118	2.870067788
119	2.854482372
120	2.834658469
121	2.823302033
122	2.820329683
123	2.809478991
124	2.794096752
125	2.790618665
126	2.766999458
127	2.757994215
128	2.741522589
129	2.727958292
130	2.720034087
131	2.715287364
132	2.701370908
133	2.678175414
134	2.664018494
135	2.652357404
136	2.641466487
137	2.628707724
138	2.626238749
139	2.614891701
140	2.59636292
141	2.595030316
142	2.593894953
143	2.58511361
144	2.572299735
145	2.571019724
146	2.563227577
147	2.557968823
148	2.542675948
149	2.527698572
