iter	Passed	Remaining
0	147	22004
1	157	11666
2	168	8251
3	179	6560
4	189	5491
5	200	4816
6	213	4363
7	223	3962
8	234	3674
9	245	3440
10	256	3240
11	266	3065
12	279	2945
13	290	2822
14	300	2707
15	313	2621
16	325	2546
17	335	2461
18	348	2400
19	361	2348
20	373	2297
21	385	2243
22	397	2196
23	409	2150
24	420	2102
25	431	2058
26	443	2020
27	455	1985
28	466	1946
29	478	1913
30	490	1882
31	501	1847
32	513	1819
33	525	1792
34	537	1766
35	548	1738
36	560	1711
37	572	1687
38	584	1664
39	595	1638
40	608	1617
41	621	1598
42	633	1575
43	648	1562
44	663	1549
45	678	1533
46	691	1515
47	704	1497
48	715	1475
49	727	1454
50	740	1436
51	752	1417
52	763	1397
53	776	1379
54	789	1364
55	802	1347
56	813	1327
57	826	1310
58	838	1292
59	851	1276
60	862	1258
61	874	1241
62	888	1227
63	902	1212
64	918	1201
65	934	1189
66	952	1179
67	1021	1231
68	1087	1276
69	1140	1302
70	1156	1286
71	1169	1266
72	1180	1244
73	1192	1224
74	1204	1204
75	1217	1185
76	1232	1168
77	1251	1155
78	1263	1135
79	1276	1116
80	1293	1101
81	1307	1084
82	1321	1066
83	1337	1050
84	1350	1033
85	1365	1016
86	1377	997
87	1391	980
88	1409	965
89	1425	950
90	1441	934
91	1455	917
92	1468	899
93	1482	883
94	1495	865
95	1507	848
96	1523	832
97	1538	816
98	1553	800
99	1569	784
100	1605	778
101	1625	765
102	1657	756
103	1679	742
104	1696	727
105	1713	711
106	1726	693
107	1739	676
108	1752	659
109	1766	642
110	1779	625
111	1792	608
112	1807	591
113	1820	574
114	1834	558
115	1846	541
116	1859	524
117	1871	507
118	1885	491
119	1898	474
120	1911	458
121	1923	441
122	1936	425
123	1981	415
124	2002	400
125	2018	384
126	2036	368
127	2053	352
128	2067	336
129	2080	320
130	2094	303
131	2107	287
132	2119	270
133	2133	254
134	2147	238
135	2160	222
136	2173	206
137	2185	190
138	2198	173
139	2210	157
140	2225	142
141	2237	126
142	2249	110
143	2265	94
144	2281	78
145	2297	62
146	2315	47
147	2332	31
148	2349	15
149	2364	0
