start_date,end_date,event_type,event_city,event_relevance
2019-06-30,2019-07-02,sports,Mallorca,5
2019-07-25,2019-07-25,local_holiday,Málaga,2
2019-07-25,2019-07-25,local_holiday,Mallorca,2
2019-01-06,2019-01-06,national_holiday,Málaga,2
2019-01-06,2019-01-06,national_holiday,Mallorca,2
2019-03-19,2019-03-19,national_holiday,Málaga,2
2019-03-19,2019-03-19,national_holiday,Mallorca,2
2019-05-08,2019-05-08,national_holiday,Málaga,4
2019-05-08,2019-05-08,national_holiday,Mallorca,4
2019-03-26,2019-03-26,sports,Málaga,2
2019-04-21,2019-04-22,sports,Málaga,5
2019-04-23,2019-04-23,sports,Málaga,5
2019-05-12,2019-05-14,sports,Málaga,2
2019-05-19,2019-05-19,sports,Málaga,2
2019-06-02,2019-06-04,sports,Málaga,2
2019-06-16,2019-06-18,sports,Málaga,2
2019-06-23,2019-06-23,sports,Málaga,2
2019-07-29,2019-07-29,sports,Málaga,2
2019-08-24,2019-08-27,sports,Málaga,2
2019-09-17,2019-09-17,sports,Málaga,2
2019-09-23,2019-09-23,sports,Málaga,2
2019-10-13,2019-10-15,sports,Málaga,2
2019-10-13,2019-10-15,sports,Málaga,2
2019-11-24,2019-11-26,sports,Málaga,2
2020-02-22,2020-02-22,sports,Málaga,2
2020-02-23,2020-02-23,sports,Málaga,2
2020-02-24,2020-02-24,sports,Málaga,2
2019-02-15,2019-02-19,culture,Málaga,5
2019-06-23,2019-07-02,culture,Málaga,5
2019-11-12,2019-11-12,unknown,Málaga,2
2019-01-18,2019-01-22,conference,Málaga,4
2019-02-22,2019-02-26,conference,Málaga,4
2019-03-06,2019-03-08,conference,Málaga,4
2019-03-14,2019-03-16,conference,Málaga,5
2019-04-17,2019-04-20,conference,Málaga,4
2019-05-24,2019-05-26,conference,Málaga,2
2019-06-29,2019-06-30,conference,Málaga,2
2019-07-22,2019-07-22,conference,Málaga,2
2019-09-19,2019-09-22,conference,Málaga,2
2019-09-20,2019-09-22,conference,Málaga,2
2019-09-25,2019-09-25,conference,Málaga,2
2019-10-03,2019-10-05,conference,Málaga,4
2019-10-16,2019-10-18,conference,Málaga,2
2019-10-20,2019-10-24,conference,Málaga,5
2019-10-20,2019-10-24,conference,Málaga,2
2019-11-13,2019-11-15,conference,Málaga,2
2020-02-19,2020-02-21,conference,Málaga,2
2019-02-01,2019-02-05,festival_fair,Málaga,5
2019-02-11,2019-02-12,festival_fair,Málaga,2
2019-02-21,2019-02-23,festival_fair,Málaga,2
2019-02-21,2019-02-23,festival_fair,Málaga,2
2019-02-21,2019-02-24,festival_fair,Málaga,2
2019-02-22,2019-02-26,festival_fair,Málaga,5
2019-03-06,2019-03-08,festival_fair,Málaga,2
2019-03-07,2019-03-08,festival_fair,Málaga,2
2019-03-08,2019-03-10,festival_fair,Málaga,2
2019-03-15,2019-03-17,festival_fair,Málaga,2
2019-03-20,2019-03-26,festival_fair,Málaga,2
2019-03-21,2019-03-26,festival_fair,Málaga,2
2019-03-22,2019-03-26,festival_fair,Málaga,2
2019-03-23,2019-03-26,festival_fair,Málaga,2
2019-03-23,2019-03-24,festival_fair,Málaga,2
2019-03-24,2019-03-25,festival_fair,Málaga,2
2019-03-25,2019-03-25,festival_fair,Málaga,2
2019-03-28,2019-03-30,festival_fair,Málaga,2
2019-04-25,2019-04-27,festival_fair,Málaga,2
2019-05-17,2019-05-18,festival_fair,Málaga,2
2019-05-17,2019-05-19,festival_fair,Málaga,2
2019-05-18,2019-05-20,festival_fair,Málaga,2
2019-05-24,2019-05-27,festival_fair,Málaga,2
2019-05-24,2019-05-27,festival_fair,Málaga,2
2019-05-27,2019-05-28,festival_fair,Málaga,2
2019-05-30,2019-06-04,festival_fair,Málaga,2
2019-06-07,2019-06-08,festival_fair,Málaga,2
2019-06-13,2019-06-18,festival_fair,Málaga,2
2019-06-23,2019-06-25,festival_fair,Málaga,2
2019-09-12,2019-09-14,festival_fair,Málaga,2
2019-09-20,2019-09-21,festival_fair,Málaga,2
